Tipo,Valor,Período,Ano
Receita,2220,01/01/2017,2017
Receita,2823,01/01/2018,2018
Receita,3041,01/01/2019,2019
Receita,3873,01/01/2020,2020
Receita,6324,01/01/2021,2021
Receita,8309,01/01/2022,2022
Receita,9874,01/01/2023,2023
Receita,10990,01/01/2024,2024
Receita,11735,01/01/2025,2025
Receita,12212,01/01/2026,2026
CPV,-1451,01/01/2017,2017
CPV,-1866,01/01/2018,2018
CPV,-2152,01/01/2019,2019
CPV,-2683,01/01/2020,2020
CPV,-3931,01/01/2021,2021
CPV,-5545,01/01/2022,2022
CPV,-6589,01/01/2023,2023
CPV,-7334,01/01/2024,2024
CPV,-7831,01/01/2025,2025
CPV,-8150,01/01/2026,2026
Total Despesas,-175,01/01/2017,2017
Total Despesas,-299,01/01/2018,2018
Total Despesas,-330,01/01/2019,2019
Total Despesas,-409,01/01/2020,2020
Total Despesas,-480,01/01/2021,2021
Total Despesas,-716,01/01/2022,2022
Total Despesas,-820,01/01/2023,2023
Total Despesas,-896,01/01/2024,2024
Total Despesas,-950,01/01/2025,2025
Total Despesas,-989,01/01/2026,2026
Juros,-92,01/01/2017,2017
Juros,-73,01/01/2018,2018
Juros,-144,01/01/2019,2019
Juros,-92,01/01/2020,2020
Juros,-353,01/01/2021,2021
Juros,-353,01/01/2022,2022
Juros,-343,01/01/2023,2023
Juros,-196,01/01/2024,2024
Juros,-143,01/01/2025,2025
Juros,-139,01/01/2026,2026
IR,-132,01/01/2017,2017
IR,-179,01/01/2018,2018
IR,-100,01/01/2019,2019
IR,-178,01/01/2020,2020
IR,-430,01/01/2021,2021
IR,-467,01/01/2022,2022
IR,-585,01/01/2023,2023
IR,-706,01/01/2024,2024
IR,-774,01/01/2025,2025
IR,-809,01/01/2026,2026
